skill_id	prereq_id	source	type
khan.division_0.5	khan.meaning-of-division	khan	prerequisite
khan.writing-fractions-as-whole-numbers	khan.recognizing_fractions_0.5	khan	prerequisite
khan.fractions_on_the_number_line_1	khan.recognizing_fractions_0.5	khan	prerequisite
khan.recognizing_fractions	khan.recognizing_fractions_0.5	khan	prerequisite
khan.area_1	khan.understanding-area	khan	prerequisite
khan.perimeter_1	khan.multiplication_0.5	khan	prerequisite
khan.perimeter_1	csp.1.NBT.B.5	khan	prerequisite
khan.patterns-in-the-addition-table-and-multiplication-table	khan.multiplication_0.5	khan	prerequisite
khan.multiply-by-tens-word-problems	khan.multiplication_1	khan	prerequisite
khan.division_1	khan.division_0.5	khan	prerequisite
khan.multiplying-tens	khan.multiplication_1	khan	prerequisite
khan.multiplying-with-arrays	khan.multiplication_0.5	khan	prerequisite
khan.fractions_on_the_number_line_2	khan.fractions_on_the_number_line_1	khan	prerequisite
khan.naming-the-whole	khan.recognizing_fractions_0.5	khan	prerequisite
khan.time-differences	csp.3.LP4.3.1	khan	prerequisite
khan.find-area-of-rectangles-by-counting-unit-squares	khan.area_1	khan	prerequisite
khan.measure-to-find-area	khan.measuring-lengths-2	khan	prerequisite
khan.measure-to-find-area	khan.understanding-area	khan	prerequisite
khan.solving-problems-with-bar-graphs-3	khan.multiplication_0.5	khan	prerequisite
khan.reading_pictographs_2	khan.multiplication_0.5	khan	prerequisite
khan.relate-division-to-multiplication	khan.multiplication_0.5	khan	prerequisite
khan.dividing-with-visuals	khan.meaning-of-division	khan	prerequisite
khan.letters-and-symbols-in-multiplication-and-division-equations	khan.division_1	khan	prerequisite
khan.finding-1-on-the-number-line	khan.fractions_on_the_number_line_2	khan	prerequisite
khan.finding-1-on-the-number-line	khan.relate-fractions-to-1	khan	prerequisite
khan.equivalent-fraction-models	khan.fractions_on_the_number_line_2	khan	prerequisite
khan.equivalent-fraction-models	khan.equivalent-fraction-models-1	khan	prerequisite
khan.telling-time-word-problems-with-the-number-line	csp.3.LP4.3.1	khan	prerequisite
khan.telling-time-word-problems-with-the-number-line	khan.telling-time-on-the-number-line	khan	prerequisite
khan.finding-area-by-multiplying	khan.area_1	khan	prerequisite
khan.finding-area-by-multiplying	khan.find-area-of-rectangles-by-counting-unit-squares	khan	prerequisite
khan.finding-area-by-multiplying	khan.multiplication_0.5	khan	prerequisite
khan.measure-to-find-perimeter	khan.perimeter_1	khan	prerequisite
khan.measure-to-find-perimeter	khan.measuring-lengths-1	khan	prerequisite
khan.perimeter-2	khan.perimeter_1	khan	prerequisite
khan.categorize-quadrilaterals	khan.recognizing-shapes	khan	prerequisite
khan.estimating-volume	khan.estimating-lengths	khan	prerequisite
khan.estimating-mass	khan.estimating-lengths	khan	prerequisite
khan.estimating-length--inches--feet--yards--and-miles-	khan.estimating-lengths	khan	prerequisite
khan.measuring-area-with-unit-squares	khan.area_1	khan	prerequisite
csp.G6SS1.3.2	khan.finding-area-by-multiplying	khan	prerequisite
csp.G6SS1.3.2	khan.multiplication_0.5	khan	prerequisite
khan.find-a-missing-side-length-when-given-perimeter	khan.perimeter-2	khan	prerequisite
khan.creating_bar_charts_1	khan.solving-problems-with-bar-graphs-3	khan	prerequisite
khan.reading_bar_charts_2	khan.solving-problems-with-bar-graphs-3	khan	prerequisite
khan.creating-picture-and-bar-graphs-2	khan.reading_pictographs_2	khan	prerequisite
khan.rounding-to-the-nearest-10-or-100-on-the-number-line	khan.rounding-to-the-nearest-ten-or-hundred	khan	prerequisite
khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan.multiplication_1	khan	prerequisite
khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan.division_1	khan	prerequisite
khan.estimating-volume--cups--pints--quarts--and-gallons-	khan.estimating-volume	khan	prerequisite
khan.volume-word-problems-1	khan.multiplication_0.5	khan	prerequisite
khan.volume-word-problems-1	khan.division_1	khan	prerequisite
khan.volume-word-problems-1	khan.estimating-volume	khan	prerequisite
khan.estimating-mass--ounces-and-pounds-	khan.estimating-mass	khan	prerequisite
khan.relate-division-to-multiplication-word-problems	khan.relate-division-to-multiplication	khan	prerequisite
opensalt.3.CFR2	khan.fractions_on_the_number_line_2	khan	prerequisite
opensalt.3.CFR2	khan.recognizing_fractions	khan	prerequisite
opensalt.3.CFR3	khan.fractions_on_the_number_line_2	khan	prerequisite
opensalt.3.CFR3	khan.recognizing_fractions	khan	prerequisite
khan.telling-time-word-problems	khan.telling-time-word-problems-with-the-number-line	khan	prerequisite
khan.find-a-missing-side-length-when-given-area-of-a-rectangle	csp.G6SS1.3.2	khan	prerequisite
khan.decompose-figures-to-find-area-1	csp.G6SS1.3.2	khan	prerequisite
khan.comparing-areas-by-multiplying	khan.finding-area-by-multiplying	khan	prerequisite
khan.comparing-areas-by-multiplying	csp.G6SS1.3.2	khan	prerequisite
khan.rounding-challenge	khan.rounding-to-the-nearest-ten-or-hundred	khan	prerequisite
khan.measurement-units	khan.estimating-volume--cups--pints--quarts--and-gallons-	khan	prerequisite
khan.measurement-units	khan.estimating-volume	khan	prerequisite
khan.measure-mass	khan.division_1	khan	prerequisite
khan.measure-mass	khan.multiplication_0.5	khan	prerequisite
khan.measure-mass	khan.estimating-mass	khan	prerequisite
khan.measurement-units	khan.estimating-length--inches--feet--yards--and-miles-	khan	prerequisite
khan.comparing_fractions_1	opensalt.3.CFR2	khan	prerequisite
khan.comparing_fractions_1	opensalt.3.CFR3	khan	prerequisite
khan.decompose-shapes-to-find-area	khan.decompose-figures-to-find-area-1	khan	prerequisite
khan.comparing-area-and-perimeter	khan.comparing-areas-by-multiplying	khan	prerequisite
khan.comparing-area-and-perimeter	khan.perimeter-2	khan	prerequisite
khan.perimeter-word-problems	khan.find-a-missing-side-length-when-given-perimeter	khan	prerequisite
khan.creating-line-plots-2	khan.creating-picture-and-bar-graphs-2	khan	prerequisite
khan.multiplying-by-10	khan.multiplication_0.5	khan	prerequisite
khan.dividing-whole-numbers-by-10	khan.division_1	khan	prerequisite
khan.measurement-units	khan.estimating-mass--ounces-and-pounds-	khan	prerequisite
khan.number_line	khan.multiplication_0.5	khan	prerequisite
assistments.48	khan.comparing_fractions_1	khan	prerequisite
khan.understanding-whole-number-representations	khan.place_value	khan	prerequisite
khan.multiplying-and-dividing-by-10	khan.place_value	khan	prerequisite
khan.multiplying-and-dividing-by-10	khan.multiplying-by-10	khan	prerequisite
khan.multiplying-and-dividing-by-10	khan.dividing-whole-numbers-by-10	khan	prerequisite
khan.quotients-that-are-multiples-of-10	khan.dividing-whole-numbers-by-10	khan	prerequisite
khan.quotients-that-are-multiples-of-10	khan.division_1	khan	prerequisite
khan.measurement-units	khan.estimating-mass	khan	prerequisite
khan.place-value-blocks	khan.place_value	khan	prerequisite
khan.creating-largest-or-smallest-number	khan.place_value	khan	prerequisite
khan.division_1.5	khan.quotients-that-are-multiples-of-10	khan	prerequisite
khan.equivalent_fractions_2	assistments.48	khan	prerequisite
khan.different-wholes	assistments.48	khan	prerequisite
khan.visually-comparing-fractions	assistments.48	khan	prerequisite
khan.comparing-multi-digit-numbers	khan.place_value	khan	prerequisite
khan.zeros-in-the-dividend-no-remainders	khan.division_1	khan	prerequisite
khan.zeros-in-the-dividend-no-remainders	khan.quotients-that-are-multiples-of-10	khan	prerequisite
khan.zeros-in-the-dividend-no-remainders	khan.division_1.5	khan	prerequisite
khan.zeros-in-the-quotient-no-remainders	khan.division_1	khan	prerequisite
khan.zeros-in-the-quotient-no-remainders	khan.quotients-that-are-multiples-of-10	khan	prerequisite
khan.zeros-in-the-quotient-no-remainders	khan.division_1.5	khan	prerequisite
khan.adding_fractions_with_common_denominators	assistments.48	khan	prerequisite
khan.comparing-multi-digit-numbers-pv-challenge	khan.numbers-in-written-form	khan	prerequisite
khan.comparing-multi-digit-numbers-pv-challenge	khan.comparing-multi-digit-numbers	khan	prerequisite
khan.multiplying-by-4-digit-numbers-with-visual-models	khan.multiplication_0.5	khan	prerequisite
khan.division_1.5	khan.division_1	khan	prerequisite
khan.division_1.5	khan.relate-division-to-multiplication	khan	prerequisite
khan.equivalent-fractions-with-denominators-of-10-and-100-intuition	assistments.48	khan	prerequisite
khan.multiplying-fractions-and-whole-numbers-intuition	khan.adding_fractions_with_common_denominators	khan	prerequisite
