skill_id	prereq_id	source	type	confidence
khan.dividing-by-1	khan.meaning-of-division	khan	prerequisite	1.00
khan.dividing-by-6	khan.dividing-by-3	khan	prerequisite	1.00
khan.dividing-by-4	khan.dividing-by-2	khan	prerequisite	1.00
khan.dividing-by-5	khan.dividing-by-2	khan	prerequisite	1.00
khan.dividing-by-7	khan.dividing-by-6	khan	prerequisite	1.00
khan.dividing-by-9	khan.dividing-by-6	khan	prerequisite	1.00
khan.dividing-by-8	khan.dividing-by-4	khan	prerequisite	1.00
khan.dividing-by-10	khan.dividing-by-1	khan	prerequisite	1.00
khan.dividing-by-10	khan.dividing-by-5	khan	prerequisite	1.00
khan.multiplication_0.5	khan.meaning-of-multiplication	khan	prerequisite	1.00
khan.understanding-area	khan.that-s-not-fair-	khan	prerequisite	1.00
khan.making-100-and-1000	khan.breaking-apart-two-digit-addition-problems	khan	prerequisite	1.00
khan.find-the-missing-number-add-sub-within-100	khan.subtraction_4	khan	prerequisite	1.00
khan.multiplication_1	khan.multiplication_0.5	khan	prerequisite	1.00
khan.division_0.5	khan.multiplication_0.5	khan	prerequisite	1.00
khan.division_0.5	khan.meaning-of-division	khan	prerequisite	1.00
khan.writing-fractions-as-whole-numbers	khan.recognizing_fractions_0.5	khan	prerequisite	1.00
khan.fractions_on_the_number_line_1	khan.recognizing_fractions_0.5	khan	prerequisite	1.00
khan.recognizing_fractions	khan.recognizing_fractions_0.5	khan	prerequisite	1.00
khan.area_1	khan.understanding-area	khan	prerequisite	1.00
khan.perimeter_1	khan.multiplication_0.5	khan	prerequisite	1.00
khan.patterns-in-the-addition-table-and-multiplication-table	khan.multiplication_0.5	khan	prerequisite	1.00
khan.multiply-by-tens-word-problems	khan.multiplication_1	khan	prerequisite	1.00
khan.division_1	khan.division_0.5	khan	prerequisite	1.00
khan.multiplying-tens	khan.multiplication_1	khan	prerequisite	1.00
khan.multiplying-with-arrays	khan.multiplication_0.5	khan	prerequisite	1.00
khan.fractions_on_the_number_line_2	khan.fractions_on_the_number_line_1	khan	prerequisite	1.00
khan.naming-the-whole	khan.recognizing_fractions_0.5	khan	prerequisite	1.00
